task,variant,N,B,threads,run,time,checksum
B,critical,1000000,256,4,1,0.029239,1000000
B,critical,1000000,256,4,2,0.029449,1000000
B,critical,1000000,256,4,3,0.031425,1000000
B,atomic,1000000,256,4,1,0.006558,1000000
B,atomic,1000000,256,4,2,0.006572,1000000
B,atomic,1000000,256,4,3,0.006552,1000000
B,local,1000000,256,4,1,0.000187,1000000
B,local,1000000,256,4,2,0.000209,1000000
B,local,1000000,256,4,3,0.000185,1000000
B,critical,1000000,256,8,1,0.029496,1000000
B,critical,1000000,256,8,2,0.029937,1000000
B,critical,1000000,256,8,3,0.029670,1000000
B,atomic,1000000,256,8,1,0.012184,1000000
B,atomic,1000000,256,8,2,0.012725,1000000
B,atomic,1000000,256,8,3,0.012585,1000000
B,local,1000000,256,8,1,0.000268,1000000
B,local,1000000,256,8,2,0.000235,1000000
B,local,1000000,256,8,3,0.000321,1000000
B,critical,1000000,256,16,1,0.038506,1000000
B,critical,1000000,256,16,2,0.040382,1000000
B,critical,1000000,256,16,3,0.039119,1000000
B,atomic,1000000,256,16,1,0.012850,1000000
B,atomic,1000000,256,16,2,0.012186,1000000
B,atomic,1000000,256,16,3,0.012661,1000000
B,local,1000000,256,16,1,0.000456,1000000
B,local,1000000,256,16,2,0.000332,1000000
B,local,1000000,256,16,3,0.000344,1000000
B,critical,1000000,4096,1,1,0.006714,1000000
B,critical,1000000,4096,1,2,0.006837,1000000
B,critical,1000000,4096,1,3,0.006589,1000000
B,atomic,1000000,4096,1,1,0.000896,1000000
B,atomic,1000000,4096,1,2,0.000926,1000000
B,atomic,1000000,4096,1,3,0.000950,1000000
B,local,1000000,4096,1,1,0.000364,1000000
B,local,1000000,4096,1,2,0.000350,1000000
B,local,1000000,4096,1,3,0.000347,1000000
B,critical,1000000,4096,2,1,0.025359,1000000
B,critical,1000000,4096,2,2,0.025242,1000000
B,critical,1000000,4096,2,3,0.025162,1000000
B,atomic,1000000,4096,2,1,0.006099,1000000
B,atomic,1000000,4096,2,2,0.006163,1000000
B,atomic,1000000,4096,2,3,0.006124,1000000
B,local,1000000,4096,2,1,0.000236,1000000
B,local,1000000,4096,2,2,0.000235,1000000
B,local,1000000,4096,2,3,0.000226,1000000
B,critical,1000000,4096,4,1,0.042723,1000000
B,critical,1000000,4096,4,2,0.043619,1000000
B,critical,1000000,4096,4,3,0.044315,1000000
B,atomic,1000000,4096,4,1,0.005316,1000000
B,atomic,1000000,4096,4,2,0.005286,1000000
B,atomic,1000000,4096,4,3,0.005271,1000000
B,local,1000000,4096,4,1,0.000168,1000000
B,local,1000000,4096,4,2,0.000167,1000000
B,local,1000000,4096,4,3,0.000164,1000000
B,critical,1000000,4096,8,1,0.051189,1000000
B,critical,1000000,4096,8,2,0.051940,1000000
B,critical,1000000,4096,8,3,0.067957,1000000
B,atomic,1000000,4096,8,1,0.006049,1000000
B,atomic,1000000,4096,8,2,0.006182,1000000
B,atomic,1000000,4096,8,3,0.006056,1000000
B,local,1000000,4096,8,1,0.000303,1000000
B,local,1000000,4096,8,2,0.000248,1000000
B,local,1000000,4096,8,3,0.000227,1000000
B,critical,1000000,4096,16,1,0.091156,1000000
B,critical,1000000,4096,16,2,0.088858,1000000
B,critical,1000000,4096,16,3,0.076926,1000000
B,atomic,1000000,4096,16,1,0.006157,1000000
B,atomic,1000000,4096,16,2,0.006131,1000000
B,atomic,1000000,4096,16,3,0.006185,1000000
B,local,1000000,4096,16,1,0.000458,1000000
B,local,1000000,4096,16,2,0.000362,1000000
B,local,1000000,4096,16,3,0.000395,1000000
