task,variant,schedule,chunk,N,K,threads,run,time,checksum
A,omp,dynamic,1,100000,24,8,1,0.087917,312551580
A,omp,dynamic,1,100000,24,8,2,0.087205,312551580
A,omp,dynamic,1,100000,24,8,3,0.088422,312551580
A,omp,dynamic,4,100000,24,8,1,0.097071,312551580
A,omp,dynamic,4,100000,24,8,2,0.087582,312551580
A,omp,dynamic,4,100000,24,8,3,0.089115,312551580
A,omp,dynamic,16,100000,24,8,1,0.087606,312551580
A,omp,dynamic,16,100000,24,8,2,0.086944,312551580
A,omp,dynamic,16,100000,24,8,3,0.087766,312551580
A,omp,dynamic,64,100000,24,8,1,0.087200,312551580
A,omp,dynamic,64,100000,24,8,2,0.086817,312551580
A,omp,dynamic,64,100000,24,8,3,0.091410,312551580
A,omp,guided,1,100000,24,8,1,0.088023,312551580
A,omp,guided,1,100000,24,8,2,0.088455,312551580
A,omp,guided,1,100000,24,8,3,0.088214,312551580
A,omp,guided,4,100000,24,8,1,0.088754,312551580
A,omp,guided,4,100000,24,8,2,0.087410,312551580
A,omp,guided,4,100000,24,8,3,0.086657,312551580
A,omp,guided,16,100000,24,8,1,0.091421,312551580
A,omp,guided,16,100000,24,8,2,0.086326,312551580
A,omp,guided,16,100000,24,8,3,0.088057,312551580
A,omp,guided,64,100000,24,8,1,0.106292,312551580
A,omp,guided,64,100000,24,8,2,0.088558,312551580
A,omp,guided,64,100000,24,8,3,0.090302,312551580
A,omp,static,0,100000,24,16,1,0.187992,312551580
A,omp,static,0,100000,24,16,2,0.092449,312551580
A,omp,static,0,100000,24,16,3,0.093351,312551580
A,omp,dynamic,1,100000,24,16,1,0.090494,312551580
A,omp,dynamic,1,100000,24,16,2,0.088447,312551580
A,omp,dynamic,1,100000,24,16,3,0.088407,312551580
A,omp,dynamic,4,100000,24,16,1,0.090450,312551580
A,omp,dynamic,4,100000,24,16,2,0.086674,312551580
A,omp,dynamic,4,100000,24,16,3,0.090121,312551580
A,omp,dynamic,16,100000,24,16,1,0.087026,312551580
A,omp,dynamic,16,100000,24,16,2,0.086782,312551580
A,omp,dynamic,16,100000,24,16,3,0.124497,312551580
A,omp,dynamic,64,100000,24,16,1,0.086772,312551580
A,omp,dynamic,64,100000,24,16,2,0.087620,312551580
A,omp,dynamic,64,100000,24,16,3,0.086470,312551580
A,omp,guided,1,100000,24,16,1,0.086545,312551580
A,omp,guided,1,100000,24,16,2,0.089746,312551580
A,omp,guided,1,100000,24,16,3,0.089148,312551580
A,omp,guided,4,100000,24,16,1,0.089532,312551580
A,omp,guided,4,100000,24,16,2,0.088050,312551580
A,omp,guided,4,100000,24,16,3,0.090032,312551580
A,omp,guided,16,100000,24,16,1,0.095165,312551580
A,omp,guided,16,100000,24,16,2,0.089759,312551580
A,omp,guided,16,100000,24,16,3,0.088807,312551580
A,omp,guided,64,100000,24,16,1,0.091948,312551580
A,omp,guided,64,100000,24,16,2,0.087879,312551580
A,omp,guided,64,100000,24,16,3,0.088523,312551580
A,omp,static,0,100000,28,1,1,2.592868,1836308420
A,omp,static,0,100000,28,1,2,2.624104,1836308420
A,omp,static,0,100000,28,1,3,2.588334,1836308420
A,omp,dynamic,1,100000,28,1,1,2.621937,1836308420
A,omp,dynamic,1,100000,28,1,2,2.684795,1836308420
A,omp,dynamic,1,100000,28,1,3,2.579749,1836308420
A,omp,dynamic,4,100000,28,1,1,2.631867,1836308420
A,omp,dynamic,4,100000,28,1,2,2.591774,1836308420
A,omp,dynamic,4,100000,28,1,3,2.619207,1836308420
A,omp,dynamic,16,100000,28,1,1,2.588855,1836308420
A,omp,dynamic,16,100000,28,1,2,2.621146,1836308420
A,omp,dynamic,16,100000,28,1,3,2.581365,1836308420
A,omp,dynamic,64,100000,28,1,1,2.614093,1836308420
A,omp,dynamic,64,100000,28,1,2,2.615034,1836308420
A,omp,dynamic,64,100000,28,1,3,2.584852,1836308420
A,omp,guided,1,100000,28,1,1,2.587071,1836308420
A,omp,guided,1,100000,28,1,2,2.628361,1836308420
A,omp,guided,1,100000,28,1,3,2.643155,1836308420
A,omp,guided,4,100000,28,1,1,2.647619,1836308420
A,omp,guided,4,100000,28,1,2,2.579172,1836308420
A,omp,guided,4,100000,28,1,3,2.624295,1836308420
A,omp,guided,16,100000,28,1,1,2.588623,1836308420
A,omp,guided,16,100000,28,1,2,2.645975,1836308420
A,omp,guided,16,100000,28,1,3,2.622435,1836308420
